Company,Country,Ticker,Market,Currency,Date,Open,High,Low,Close,Volume
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-29 00:00:00+02:00,615.76,619.31,610.11,615.96,620808
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-07-30 00:00:00+02:00,611.45,620.08,607.71,612.41,840869
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-02 00:00:00+02:00,622.76,625.83,616.05,625.54,623732
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-03 00:00:00+02:00,622.76,626.31,612.98,623.91,766813
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-04 00:00:00+02:00,629.66,644.51,628.41,642.21,677473
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-05 00:00:00+02:00,642.12,655.06,640.87,644.61,673853
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-06 00:00:00+02:00,640.87,645.09,635.03,638.29,692887
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-09 00:00:00+02:00,636.75,646.62,636.75,643.08,516827
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-10 00:00:00+02:00,644.99,653.62,641.16,646.24,602779
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-11 00:00:00+02:00,644.32,649.12,639.82,640.87,559363
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-12 00:00:00+02:00,638.29,647.77,636.85,641.45,625853
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-13 00:00:00+02:00,637.33,640.2,632.54,637.9,524214
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-16 00:00:00+02:00,635.03,643.65,634.74,636.94,453075
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-17 00:00:00+02:00,633.88,642.41,632.25,637.04,534314
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-18 00:00:00+02:00,637.14,640.87,634.07,638.86,566839
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-19 00:00:00+02:00,631.29,638.76,622.66,636.75,847367
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-20 00:00:00+02:00,637.33,649.12,633.59,644.61,548107
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-23 00:00:00+02:00,647.97,658.51,646.62,657.74,566575
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-24 00:00:00+02:00,662.24,664.35,653.91,654.96,515605
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-25 00:00:00+02:00,655.15,663.68,655.15,659.75,460215
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-26 00:00:00+02:00,654.58,662.25,650.46,659.66,538870
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-27 00:00:00+02:00,662.25,674.9,661.77,674.22,533443
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-30 00:00:00+02:00,677.2,684.96,675.76,680.07,437199
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-08-31 00:00:00+02:00,684.1,687.83,670.77,675.18,978555
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-01 00:00:00+02:00,682.75,685.73,677.0,684.48,674506
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-02 00:00:00+02:00,684.19,693.3,678.92,692.15,533840
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-03 00:00:00+02:00,695.12,695.5,682.37,691.76,617257
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-06 00:00:00+02:00,695.79,712.56,695.6,710.07,449496
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-07 00:00:00+02:00,709.59,711.03,693.78,699.81,759491
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-08 00:00:00+02:00,694.83,699.91,690.04,692.34,790097
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-09 00:00:00+02:00,691.67,698.38,685.92,691.38,669779
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-10 00:00:00+02:00,699.53,711.41,695.79,701.63,724452
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-13 00:00:00+02:00,701.63,708.44,699.62,704.41,611567
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-14 00:00:00+02:00,704.89,722.05,702.59,722.05,743031
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-15 00:00:00+02:00,722.62,732.59,713.14,714.09,787789
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-16 00:00:00+02:00,718.79,724.54,710.84,716.97,879011
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-17 00:00:00+02:00,724.54,725.12,696.56,700.48,1758794
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-20 00:00:00+02:00,691.67,695.31,679.5,687.64,946104
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-21 00:00:00+02:00,688.12,704.41,687.35,701.25,712479
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-22 00:00:00+02:00,706.33,707.96,694.45,707.96,530393
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-23 00:00:00+02:00,714.96,725.98,714.86,722.43,637108
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-24 00:00:00+02:00,718.89,718.89,707.67,708.63,575754
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-27 00:00:00+02:00,714.0,716.3,685.34,687.07,751672
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-28 00:00:00+02:00,678.92,681.22,637.52,637.52,1853556
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-29 00:00:00+02:00,629.37,652.47,620.75,620.75,1618592
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-09-30 00:00:00+02:00,628.41,644.13,619.02,619.02,1461584
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-01 00:00:00+02:00,610.3,617.39,602.44,606.18,915642
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-04 00:00:00+02:00,604.26,607.04,584.62,586.15,976827
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-05 00:00:00+02:00,589.79,612.79,586.53,610.4,1064300
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-06 00:00:00+02:00,601.68,609.44,587.3,603.11,909098
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-07 00:00:00+02:00,618.26,624.39,607.81,624.39,972750
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-08 00:00:00+02:00,622.47,625.35,607.23,608.19,717128
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-11 00:00:00+02:00,605.03,608.86,591.52,604.07,644019
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-12 00:00:00+02:00,594.39,611.64,592.19,600.33,659081
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-13 00:00:00+02:00,598.99,621.32,596.4,614.8,846464
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-14 00:00:00+02:00,632.54,639.63,624.58,638.48,856760
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-15 00:00:00+02:00,653.62,654.77,640.97,648.16,940002
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-18 00:00:00+02:00,651.99,652.09,634.74,646.82,676915
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-19 00:00:00+02:00,654.58,657.55,646.05,654.58,653925
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-20 00:00:00+02:00,641.16,648.44,623.81,629.76,922464
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-21 00:00:00+02:00,626.69,641.83,622.57,638.57,715812
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-22 00:00:00+02:00,655.54,665.79,647.87,661.77,794146
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-25 00:00:00+02:00,661.57,662.92,654.29,657.07,665994
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-26 00:00:00+02:00,653.33,660.14,649.4,651.61,625180
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-27 00:00:00+02:00,656.88,666.65,655.25,665.89,686671
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-28 00:00:00+02:00,664.26,677.0,661.29,669.34,829218
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-10-29 00:00:00+02:00,662.63,673.94,655.92,671.35,906056
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-01 00:00:00+01:00,677.96,678.63,660.23,667.61,609679
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-02 00:00:00+01:00,668.48,677.89,666.36,677.22,700431
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-03 00:00:00+01:00,673.57,680.3,672.42,679.72,698784
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-04 00:00:00+01:00,694.8,702.2,683.27,696.63,730954
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-05 00:00:00+01:00,706.05,717.67,701.82,708.26,934295
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-08 00:00:00+01:00,702.4,712.87,701.63,706.05,475001
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-09 00:00:00+01:00,701.43,708.35,697.3,703.07,552539
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-10 00:00:00+01:00,703.16,709.31,682.03,691.54,765459
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-11 00:00:00+01:00,686.93,702.78,683.37,701.63,469250
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-12 00:00:00+01:00,703.16,709.99,696.92,709.99,490571
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-15 00:00:00+01:00,715.85,723.63,712.39,723.15,582736
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-16 00:00:00+01:00,726.42,728.82,717.48,724.98,556944
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-17 00:00:00+01:00,728.63,736.31,725.17,735.55,655223
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-18 00:00:00+01:00,735.45,746.5,734.3,740.35,688313
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-19 00:00:00+01:00,740.35,747.08,725.94,730.16,1172383
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-22 00:00:00+01:00,731.22,738.04,717.77,718.06,692935
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-23 00:00:00+01:00,706.82,707.2,676.64,678.47,1128884
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-24 00:00:00+01:00,687.02,689.42,663.0,681.26,1030315
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-25 00:00:00+01:00,689.52,690.87,677.51,683.18,499843
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-26 00:00:00+01:00,656.18,681.54,643.78,658.77,1204331
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-29 00:00:00+01:00,672.32,683.08,672.32,677.22,1023473
ASML (Netherlands),Netherlands,ASML.AS,Local,EUR,2021-11-30 00:00:00+01:00,674.53,693.84,663.0,672.22,2243637
